    ;round ;last_winning_bid ;last_winning_bidders   ;auction_round ;last_winning_miner ;last_mining_payoff ;base_reward ;SpongeBob ;PassiveLauncher ;AlwaysLauncher ;AggressiveLauncher ;Manu ;Observer ;Evie
76  ;56    ;4                ;['Manu']               ;22            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;934  ;720      ;739
77  ;56    ;4                ;['Manu']               ;23            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;930  ;720      ;739
78  ;56    ;4                ;['Manu']               ;24            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;926  ;720      ;739
79  ;56    ;4                ;['Manu']               ;25            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;922  ;720      ;739
80  ;56    ;4                ;['Manu']               ;26            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;918  ;720      ;739
81  ;56    ;4                ;['Manu']               ;27            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;914  ;720      ;739
82  ;56    ;4                ;['Manu']               ;28            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;910  ;720      ;739
83  ;56    ;4                ;['Manu']               ;29            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;906  ;720      ;739
84  ;56    ;4                ;['Manu']               ;30            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;902  ;720      ;739
85  ;56    ;4                ;['Manu']               ;31            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;898  ;720      ;739
86  ;56    ;4                ;['Manu']               ;32            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;894  ;720      ;739
87  ;56    ;4                ;['Manu']               ;33            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;890  ;720      ;739
88  ;56    ;4                ;['Manu']               ;34            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;886  ;720      ;739
89  ;56    ;4                ;['Manu']               ;35            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;882  ;720      ;739
90  ;56    ;4                ;['Manu']               ;36            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;878  ;720      ;739
91  ;56    ;4                ;['Manu']               ;37            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;874  ;720      ;739
92  ;56    ;4                ;['Manu']               ;38            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;870  ;720      ;739
93  ;56    ;4                ;['Manu']               ;39            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;866  ;720      ;739
94  ;56    ;4                ;['Manu']               ;40            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;862  ;720      ;739
95  ;56    ;4                ;['Manu']               ;41            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;858  ;720      ;739
96  ;56    ;4                ;['Manu']               ;42            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;854  ;720      ;739
97  ;56    ;4                ;['Manu']               ;43            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;850  ;720      ;739
98  ;56    ;4                ;['Manu']               ;44            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;846  ;720      ;739
99  ;56    ;4                ;['Manu']               ;45            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;842  ;720      ;739
100 ;56    ;4                ;['Manu']               ;46            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;838  ;720      ;739
101 ;56    ;4                ;['Manu']               ;47            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;834  ;720      ;739
102 ;56    ;4                ;['Manu']               ;48            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;830  ;720      ;739
103 ;56    ;4                ;['Manu']               ;49            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;826  ;720      ;739
104 ;56    ;4                ;['Manu']               ;50            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;822  ;720      ;739
105 ;56    ;4                ;['Manu']               ;51            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;818  ;720      ;739
106 ;56    ;4                ;['Manu']               ;52            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;814  ;720      ;739
107 ;56    ;4                ;['Manu']               ;53            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;810  ;720      ;739
108 ;56    ;4                ;['Manu']               ;54            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;806  ;720      ;739
109 ;56    ;4                ;['Manu']               ;55            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;802  ;720      ;739
110 ;56    ;4                ;['Manu']               ;56            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;798  ;720      ;739
111 ;56    ;4                ;['Manu']               ;57            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;794  ;720      ;739
112 ;56    ;4                ;['Manu']               ;58            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;790  ;720      ;739
113 ;56    ;4                ;['Manu']               ;59            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;786  ;720      ;739
114 ;56    ;4                ;['Manu']               ;60            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;782  ;720      ;739
115 ;56    ;4                ;['Manu']               ;61            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;778  ;720      ;739
116 ;56    ;4                ;['Manu']               ;62            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;774  ;720      ;739
117 ;56    ;4                ;['Manu']               ;63            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;770  ;720      ;739
118 ;56    ;4                ;['Manu']               ;64            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;766  ;720      ;739
119 ;56    ;4                ;['Manu']               ;65            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;762  ;720      ;739
120 ;56    ;4                ;['Manu']               ;66            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;758  ;720      ;739
121 ;56    ;4                ;['Manu']               ;67            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;754  ;720      ;739
122 ;56    ;4                ;['Manu']               ;68            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;750  ;720      ;739
123 ;56    ;4                ;['Manu']               ;69            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;746  ;720      ;739
124 ;56    ;4                ;['Manu']               ;70            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;742  ;720      ;739
125 ;56    ;4                ;['Manu']               ;71            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;738  ;720      ;739
126 ;56    ;4                ;['Manu']               ;72            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;734  ;720      ;739
127 ;56    ;4                ;['Manu']               ;73            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;730  ;720      ;739
