;round;last_winning_bid;last_winning_bidders;auction_round;last_winning_miner;last_launchers;last_mining_payoff;base_reward;SpongeBob;PassiveLauncher;AlwaysLauncher;AggressiveLauncher;Manu;Evie;tech;tech_gain_passive;tech_at_join;tech_gain_bid
167;168;2;['Manu', 'Evie'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];20;10;-4;-10;390;-7;544;693;26.0;9.0;26.0;
168;169;2;['Evie'];1;Manu;['AlwaysLauncher', 'Manu', 'Evie'];26;8;-4;-10;380;-7;560;681;9.0;9.0;12.0;3.0
169;170;4;['Manu'];1;Manu;['AlwaysLauncher', 'Manu', 'Evie'];19;28;-4;-10;370;-7;565;671;9.0;9.0;;
170;171;3;['Manu'];1;AlwaysLauncher;['AlwaysLauncher', 'Manu', 'Evie'];38;2;-4;-10;398;-7;552;661;9.0;9.0;15.0;6.0
171;172;2;['Manu', 'Evie'];1;Evie;['AlwaysLauncher', 'Evie'];10;4;-4;-10;388;-7;545;659;25.0;10.0;;
172;173;3;['Manu'];1;Manu;['AlwaysLauncher', 'Manu', 'Evie'];15;2;-4;-10;378;-7;547;649;6.0;6.0;14.0;8.0
173;174;2;['Manu', 'Evie'];1;Evie;['AlwaysLauncher', 'Evie'];36;37;-4;-10;368;-7;540;673;24.0;10.0;;
174;175;3;['Manu'];1;Manu;['AlwaysLauncher', 'Manu', 'Evie'];51;2;-4;-10;358;-7;578;663;6.0;6.0;10.0;4.0
175;176;2;['Manu', 'Evie'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];15;1;-4;-10;363;-7;571;651;18.0;8.0;24.0;6.0
176;177;3;['Manu'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];11;1;-4;-10;364;-7;563;641;33.0;9.0;43.0;10.0
177;178;2;['Manu', 'Evie'];1;Manu;['AlwaysLauncher', 'Manu', 'Evie'];24;6;-4;-10;354;-7;575;629;1.0;1.0;11.0;10.0
178;179;3;['Manu'];1;Evie;['AlwaysLauncher', 'Manu', 'Evie'];14;6;-4;-10;344;-7;562;633;2.0;2.0;11.0;9.0
179;180;2;['Manu', 'Evie'];1;AlwaysLauncher;['AlwaysLauncher'];16;8;-4;-10;350;-7;555;626;21.0;10.0;31.0;10.0
180;181;3;['Manu'];1;Evie;['AlwaysLauncher', 'Manu', 'Evie'];18;4;-4;-10;340;-7;542;634;1.0;1.0;4.0;3.0
181;182;2;['Manu', 'Evie'];1;Evie;['AlwaysLauncher', 'Evie'];9;15;-4;-10;330;-7;535;631;14.0;10.0;;
182;183;3;['Manu'];1;Manu;['AlwaysLauncher', 'Manu', 'Evie'];23;13;-4;-10;320;-7;545;621;8.0;8.0;17.0;9.0
183;184;2;['Manu', 'Evie'];1;Manu;['AlwaysLauncher', 'Manu', 'Evie'];27;4;-4;-10;310;-7;560;609;8.0;8.0;15.0;7.0
184;185;3;['Manu'];1;Evie;['AlwaysLauncher', 'Manu', 'Evie'];25;6;-4;-10;300;-7;547;624;5.0;5.0;12.0;7.0
185;186;2;['Manu', 'Evie'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];13;13;-4;-10;303;-7;540;612;22.0;10.0;;
186;187;3;['Manu'];1;Manu;['AlwaysLauncher', 'Manu', 'Evie'];26;3;-4;-10;293;-7;553;602;6.0;6.0;7.0;1.0
187;188;2;['Manu', 'Evie'];1;Evie;['AlwaysLauncher', 'Evie'];23;6;-4;-10;283;-7;546;613;16.0;9.0;22.0;6.0
